sirsa,29.534893,75.028981
sonipat,28.994778,77.019375
srinagar,34.085652,74.805553
surat,21.195944,72.830232
tezpur,26.633333,92.8
thanjavur,10.785233,79.139093
tharati etawah,26.758236,79.014875
thiruvananthapuram,8.485498,76.949238
tiruchchirappalli,10.815499,78.696513
tirunelveli,8.725181,77.684519
tirupati,13.635505,79.419888
tiruvannamalai,12.230204,79.072954
tonk,26.168672,75.786111
tuticorin,8.805038,78.151884
udaipur,24.57951,73.690508
ujjain,23.182387,75.776433
vadodara,22.299405,73.208119
valparai,10.325163,76.955299
varanasi,25.31774,83.005811
vellore,12.905769,79.137104
vishakhapatnam,17.704052,83.297663
vizianagaram,18.11329,83.397743
warangal,17.978423,79.600209
jorapokhar,23.7,86.41267
brajrajnagar,21.82,83.92
talcher,20.95,85.23
