calcutta,delhi,1474
calcutta,hyderabad,1467
calcutta,indore,1620
calcutta,jaipur,1530
calcutta,kanpur,1010
calcutta,lucknow,1089
calcutta,madras,1160
calcutta,nagpur,1163
calcutta,nasik,1849
calcutta,panjim,974
calcutta,patna,621
calcutta,pondicherry,1798
calcutta,pune,2058
calicut,ahmedabad,1648
calicut,bangalore,520
calicut,bhubaneshwar,1923
calicut,bombay,1171
calicut,calcutta,2346
calicut,chandigarh,2741
calicut,cochin,222
calicut,delhi,2494
calicut,hyderabad,910
calicut,indore,1998
calicut,jaipur,2523
calicut,kanpur,2260
calicut,lucknow,2339
calicut,madras,715
calicut,nagpur,1483
calicut,nasik,1193
calicut,panjim,576
calicut,patna,2476
calicut,pondicherry,566
calicut,pune,984
chandigarh,ahmedabad,1157
chandigarh,bangalore,2296
chandigarh,bhubaneshwar,2026
chandigarh,bombay,1645
chandigarh,calcutta,1721
chandigarh,chandigarh,0
chandigarh,cochin,1965
chandigarh,delhi,248
chandigarh,hyderabad,1693
chandigarh,indore,1052
chandigarh,jaipur,507
chandigarh,kanpur,661
chandigarh,lucknow,740
chandigarh,madras,2489
chandigarh,nagpur,1217
chandigarh,nasik,1466
chandigarh,panjim,2028
chandigarh,patna,1332
chandigarh,pondicherry,2657
chandigarh,pune,1663
cochin,ahmedabad,1845
cochin,bangalore,512
cochin,bhubaneshwar,1895
cochin,bombay,1368
cochin,calcutta,2318
cochin,chandigarh,1965
cochin,cochin,0
cochin,delhi,2718
cochin,hyderabad,1090
cochin,indore,1804
cochin,jaipur,2745
cochin,kanpur,2385
cochin,lucknow,2572
cochin,madras,687
cochin,nagpur,1608
cochin,nasik,1390
cochin,panjim,798
cochin,patna,2601
cochin,pondicherry,530
cochin,pune,1181
coimbatore,ahmedabad,1669
coimbatore,bangalore,333
coimbatore,bhubaneshwar,1633
coimbatore,bombay,1192
coimbatore,calcutta,2057
coimbatore,chandigarh,2669
coimbatore,cochin,195
coimbatore,delhi,2412
coimbatore,hyderabad,912
coimbatore,indore,1964
coimbatore,jaipur,2369
coimbatore,kanpur,2218
coimbatore,lucknow,2297
coimbatore,madras,426
coimbatore,nagpur,1441
coimbatore,nasik,1214
coimbatore,panjim,800
coimbatore,patna,2434
coimbatore,pondicherry,410
coimbatore,pune,1005
delhi,ahmedabad,911
delhi,bangalore,2049
delhi,bhubaneshwar,1713
delhi,bombay,1404
delhi,calcutta,1474
delhi,chandigarh,248
delhi,cochin,2718
delhi,delhi,0
delhi,hyderabad,1477
delhi,indore,806
delhi,jaipur,263
delhi,kanpur,481
delhi,lucknow,499
delhi,madras,2243
delhi,nagpur,971
delhi,nasik,1220
delhi,panjim,1782
delhi,patna,1086
delhi,pondicherry,2411
delhi,pune,1417
gwalior,ahmedabad,919
gwalior,bangalore,1734
gwalior,bhubaneshwar,1486
gwalior,bombay,1085
gwalior,calcutta,1224
gwalior,chandigarh,462
gwalior,cochin,1881
gwalior,delhi,315
gwalior,hyderabad,1132
gwalior,indore,497
gwalior,jaipur,351
gwalior,kanpur,280
gwalior,lucknow,359
gwalior,madras,1928
gwalior,nagpur,656
gwalior,nasik,891
gwalior,panjim,1467
gwalior,patna,809
gwalior,pondicherry,2096
gwalior,pune,1100
hubli,ahmedabad,1101
hubli,bangalore,391
hubli,bhubaneshwar,1620
hubli,bombay,614
hubli,calcutta,2032
hubli,chandigarh,2101
hubli,cochin,774
hubli,delhi,1854
hubli,hyderabad,486
hubli,indore,1060
hubli,jaipur,1060
hubli,kanpur,1772
hubli,lucknow,1851
hubli,madras,683
hubli,nagpur,995
hubli,nasik,646
hubli,panjim,190
hubli,patna,1998
hubli,pondicherry,653
hubli,pune,437
hyderabad,ahmedabad,1436
hyderabad,bangalore,563
hyderabad,bhubaneshwar,1044
hyderabad,bombay,729
hyderabad,calcutta,1467
hyderabad,chandigarh,1693
hyderabad,cochin,1090
hyderabad,delhi,1447
hyderabad,hyderabad,0
hyderabad,indore,999
hyderabad,jaipur,1404
hyderabad,kanpur,1253
hyderabad,lucknow,1332
hyderabad,madras,699
hyderabad,nagpur,476
hyderabad,nasik,754
hyderabad,panjim,765
hyderabad,patna,1469
hyderabad,pondicherry,865
hyderabad,pune,545
imphal,ahmedabad,3240
imphal,bangalore,3677
imphal,bhubaneshwar,2139
imphal,bombay,3446
imphal,calcutta,1717
imphal,chandigarh,2851
imphal,cochin,4156
imphal,delhi,2561
imphal,hyderabad,3283
imphal,indore,2744
imphal,jaipur,2654
imphal,kanpur,2134
imphal,lucknow,2105
imphal,madras,3326
imphal,nagpur,2549
imphal,nasik,3218
imphal,panjim,3360
imphal,patna,1534
imphal,pondicherry,3614
imphal,pune,3295
indore,ahmedabad,442
indore,bangalore,1601
indore,bhubaneshwar,1355
indore,bombay,589
indore,calcutta,1620
indore,chandigarh,1052
indore,cochin,1804
indore,delhi,806
indore,hyderabad,999
indore,indore,0
indore,jaipur,405
